Name,MeasurementUnit,ProductGroup,STOCK,Barcode,Cost,Supplier,Price,Image,SKU, stock minimo,LowStockWarning,PreferredQuantity,WarningQuantity,IsUsingDefaultQuantity
SHIVA CRACKER - CARBON VEGETAL,Unidad,GALLETITAS - PANES - SNAKCS,3,617308824094,,,1500,,496,,1,3,1,1
SHIVA CRACKER - MIX DE SEMILLAS,Unidad,GALLETITAS - PANES - SNAKCS,2,617308824100,,,1500,,497,,1,3,1,1
SHIVA CRACKER - PIMENTON AHUMADO,Unidad,GALLETITAS - PANES - SNAKCS,3,617308824087,,,1500,,498,,1,3,1,1
SNACK ANTOJITOS - BACON,Unidad,GALLETITAS - PANES - SNAKCS,3,7798184720458,1015,ORGANICA,2700,,499,,1,5,2,1
SNACK ANTOJITOS - CHEDDAR,Unidad,GALLETITAS - PANES - SNAKCS,3,7798184720496,1015,ORGANICA,2700,,500,,1,5,2,1
SNACK ANTOJITOS - CHEESE BURGER,Unidad,GALLETITAS - PANES - SNAKCS,4,7798184720441,1015,ORGANICA,2700,,501,,1,5,2,1
SNACK ANTOJITOS - ORIGINAL,Unidad,GALLETITAS - PANES - SNAKCS,3,7798184720489,1015,ORGANICA,2700,,502,,1,5,2,1
SNACK DOS HERMANOS - JAMON,Unidad,GALLETITAS - PANES - SNAKCS,1,7790503000289,858.16,MD DISTRIBUCIONES,1500,,503,,1,5,2,1
SNACK DOS HERMANOS - SALAME,Unidad,GALLETITAS - PANES - SNAKCS,0,7790503199044,858.16,MD DISTRIBUCIONES,1500,,504,,1,5,2,1
SNACK DOS HERMANOS - PIZZA,Unidad,GALLETITAS - PANES - SNAKCS,2,7790503199150,858.16,MD DISTRIBUCIONES,1500,,505,,1,5,2,1
SNACK DOS HERMANOS - CEBOLLA,Unidad,GALLETITAS - PANES - SNAKCS,1,7790503000296,858.16,MD DISTRIBUCIONES,1500,,506,,1,5,2,1
SNACK GREEN CROPS - HONGOS,Unidad,GALLETITAS - PANES - SNAKCS,10,7798228640896,850,BIOMEGA,1800,,507,,1,5,2,1
SNACK GREEN CROPS - TOMATE,Unidad,GALLETITAS - PANES - SNAKCS,10,7798228640902,850,BIOMEGA,1800,,508,,1,5,2,1
SNACK GREEN CROPS -ARVEJA,Unidad,GALLETITAS - PANES - SNAKCS,10,7798228640919,850,BIOMEGA,1800,,509,,1,5,2,1
"SNACK MAIXANAS - MAIZ, CALABAZA,  PAPA",Unidad,GALLETITAS - PANES - SNAKCS,3,7798184720397,1015,ORGANICA,2700,,510,,1,5,2,1
"SNACK MAIXANAS - MAIZ, PAPA, MANDIOCA",Unidad,GALLETITAS - PANES - SNAKCS,3,7798184720472,1015,ORGANICA,2700,,511,,1,5,2,1
"SNACK MAIXANAS - MAIZ, REMOLACHA, PAPA",Unidad,GALLETITAS - PANES - SNAKCS,4,7798184720403,1015,ORGANICA,2700,,512,,1,5,2,1
"SNACK MAIXANAS - MAIZ, ZANAHORIA, PAPA",Unidad,GALLETITAS - PANES - SNAKCS,2,7798184720465,1015,ORGANICA,2700,,513,,1,5,2,1
SNACK NUESTROS SABORES - BATATAS Y MERKEN 80GR,Unidad,GALLETITAS - PANES - SNAKCS,7,7798171732860,1142.22,ORGANICA,2700,,514,,1,5,2,1
SNACK NUESTROS SABORES - BATATITAS 80GR,Unidad,GALLETITAS - PANES - SNAKCS,0,7798171730026,953,ORGANICA,1900,,515,,1,5,2,1
SNACK NUESTROS SABORES - CHIPS DE MANDIOCA 80GR,Unidad,GALLETITAS - PANES - SNAKCS,,7798171730019,953,ORGANICA,1900,,516,,1,5,2,1
SNACK NUESTROS SABORES - CHIPS ZANAHORIA 80GR,Unidad,GALLETITAS - PANES - SNAKCS,2,7798171732051,926,ORGANICA,1900,,517,,1,5,2,1
SNACK NUESTROS SABORES - PAPAS RUSTICAS CON SAL MARINA 80GR,Unidad,GALLETITAS - PANES - SNAKCS,5,7798171730392,1046,ORGANICA,1900,,518,,1,5,2,1
SNACK NUESTROS SABORES - PAPAS CON PIMIENTA NEGRA Y SAL MARINA 80GR,Unidad,GALLETITAS - PANES - SNAKCS,,7798171732167,953,ORGANICA,1900,,519,,1,5,2,1
SNACK NUESTROS SABORES - POCHOCLO DULCE 95GR,Unidad,GALLETITAS - PANES - SNAKCS,5,7798171733102,1120.4,ORGANICA,2000,,520,,1,5,2,1
SNACK NUESTROS SABORES - POCHOCLO MANTECA 38GR,Unidad,GALLETITAS - PANES - SNAKCS,5,7798171733119,1120.4,ORGANICA,2000,,521,,1,5,2,1
SNACK NUESTROS SABORES - REMOLACHA Y BATATAS 80GR,Unidad,GALLETITAS - PANES - SNAKCS,3,7798171730477,953,ORGANICA,1900,,522,,1,5,2,1
SNACK NUESTROS SABORES - TOSTADITA CEBOLLA Y CREMA 50GR,Unidad,GALLETITAS - PANES - SNAKCS,9,7798171733058,777,ORGANICA,1900,,523,,1,5,2,1
